,id,main_cast_id,director_code
229,20156,21089.0,1448
230,18395,65002.0,5438
231,522,85.0,16541
232,397,5344.0,9936
233,10525,7904.0,1854
234,27985,13920.0,13497
235,15789,84213.0,9493
236,27303,4785.0,2072
237,21183,2231.0,2382
238,10954,16240.0,6111
239,47867,86812.0,10890
240,43475,0.0,1358
241,72031,9778.0,2550
242,14275,134119.0,15878
243,1024,15091.0,13278
244,17207,57119.0,13791
245,13701,64.0,1733
246,14819,7399.0,15921
247,32631,38559.0,6904
248,11777,504.0,5303
249,628,287.0,12270
250,87729,1733.0,7180
251,18713,77761.0,7209
252,6280,1100.0,6852
253,9061,738.0,1341
254,37108,21403.0,11573
255,6071,16560.0,1552
256,11,2.0,5610
257,9587,1920.0,5774
258,19101,84093.0,617
259,49980,110077.0,9387
260,17961,4885.0,3018
261,18183,27643.0,613
262,4476,287.0,4550
263,11008,22675.0,12343
264,47504,820.0,7165
265,32325,53764.0,696
266,43742,6449.0,5854
267,28313,4431.0,15800
268,11318,15788.0,12321
269,3036,380.0,9412
270,40490,28768.0,7220
271,24070,67773.0,12541
272,8986,29369.0,13991
273,10510,4786.0,10047
274,17402,520.0,3708
275,38722,587.0,6000
276,8438,2224.0,10586
277,11593,3636.0,14257
278,1945,1038.0,11478
279,39310,122712.0,12353
280,109560,74195.0,16993
281,56428,13918.0,17040
282,63105,230665.0,364
283,131957,1212.0,316
284,241,57755.0,12644
285,9058,3141.0,12558
286,527,7241.0,9980
287,18220,24967.0,1105
288,6950,4483.0,17577
289,101,1003.0,10286
290,63020,3141.0,11992
291,2307,13021.0,8824
292,680,8891.0,13651
293,41478,66554.0,10786
294,25296,1623.0,1038
295,40156,3900.0,1213
296,11450,1241.0,14421
297,30304,16145.0,9296
298,10452,6553.0,12855
299,12106,4430.0,14940
300,161495,2314.0,13383
301,3586,5676.0,14247
302,110,1350.0,9704
303,108,1137.0,9704
304,109,1145.0,9704
305,159185,998494.0,13570
306,36357,7633.0,5292
307,92769,4761.0,5616
308,28033,65348.0,6257
309,22586,9260.0,14084
310,14334,144523.0,8451
311,2636,16483.0,10351
312,2164,6856.0,14584
313,11395,12898.0,8416
314,278,504.0,5186
315,9905,17258.0,3517
316,87078,352.0,15153
317,12527,64846.0,16817
318,20306,1979.0,5601
319,36614,12536.0,5543
320,27993,40009.0,9367
321,31439,76913.0,17684
322,9067,15309.0,13676
323,9059,1954.0,4856
324,193,2387.0,3657
325,25066,15864.0,14772
326,46797,5293.0,2105
327,12122,20006.0,8236
328,11381,58198.0,13350
329,32636,12900.0,10270
330,36141,8212.0,15974
331,95963,32486.0,13613
332,1587,85.0,9874
333,9271,5292.0,2072
334,2064,18277.0,8572
335,19855,109.0,8521
336,60855,25540.0,11979
337,236,3051.0,12754
338,48287,70852.0,11433
339,3049,206.0,16765
340,2759,28641.0,15754
341,12635,10822.0,6651
342,10497,3291.0,14613
343,11382,3036.0,17586
344,9331,3.0,13504
345,10731,4038.0,8162
346,10464,2395.0,7908
347,34152,1981.0,15670
348,9495,57700.0,535
349,29973,2176.0,14644
350,888,1230.0,2132
351,13,31.0,14469
352,712,3291.0,11899
353,16295,4987.0,8463
354,48992,141610.0,3559
355,10879,1733.0,2596
356,10660,2963.0,847
357,10714,58319.0,15828
358,41647,10139.0,13852
359,8587,53283.0,14546
360,1689,6384.0,1739
361,11596,5141.0,17410
362,854,206.0,2969
363,9359,2461.0,14022
364,23333,10431.0,336
365,36593,7633.0,13350
366,12280,2232.0,14630
367,2788,1920.0,1658
368,10427,2963.0,8250
369,11011,11510.0,4266
370,49803,4038.0,14245
371,8987,5064.0,3232
372,1637,6384.0,7335
373,15128,2232.0,14646
374,8831,15111.0,13275
375,36955,1100.0,7125
376,10449,1271.0,10354
377,10395,514.0,11900
378,12160,1269.0,9936
379,40480,2975.0,3319
380,52038,3926.0,16087
381,29444,10822.0,7629
382,26352,35689.0,9321
383,39953,1332274.0,14377
384,41580,16927.0,17795
385,315,4592.0,14758
386,22067,32486.0,4315
387,18242,138939.0,3583
388,11667,15111.0,15931
389,32502,521.0,17335
390,267188,126837.0,11472
391,28732,240086.0,13087
392,75555,69651.0,17225
393,42981,0.0,16416
394,278939,23764.0,10307
395,291731,10401.0,14679
396,226229,587.0,13093
397,203119,4040.0,14465
398,172923,7370.0,14494
399,316098,24368.0,7730
400,8011,38559.0,908
